Date,Series,Open,High,Low,Prev Close,ltp,Close,VWAP,52WH,52WL,Volume,Value,No.of Traders
16-Oct-24,EQ,"1,151.00","1,162.95","1,148.10","1,153.85","1,150.00","1,153.20","1,154.48","1,339.65",951.4,"77,39,854","8,93,54,84,701.45","1,45,230"
15-Oct-24,EQ,"1,166.10","1,172.00","1,149.50","1,164.35","1,157.70","1,153.85","1,158.79","1,339.65",951.4,"87,41,516","10,12,95,78,124.70","1,56,359"
14-Oct-24,EQ,"1,171.55","1,175.00","1,156.60","1,172.45","1,168.75","1,164.35","1,166.10","1,339.65",951.4,"97,65,296","11,38,73,40,902.65","1,84,595"
11-Oct-24,EQ,"1,182.50","1,188.20","1,166.00","1,184.25","1,173.20","1,172.45","1,175.82","1,339.65",951.4,"47,54,158","5,59,00,41,386.50","1,24,062"
10-Oct-24,EQ,"1,177.00","1,191.00","1,175.05","1,170.15","1,183.70","1,184.25","1,183.78","1,339.65",951.4,"68,06,243","8,05,70,65,247.40","1,58,576"
9-Oct-24,EQ,"1,154.00","1,185.00","1,154.00","1,153.30","1,170.20","1,170.15","1,170.93","1,339.65",951.4,"98,07,734","11,48,41,99,414.60","2,03,169"
8-Oct-24,EQ,"1,153.00","1,168.35","1,142.50","1,145.70","1,157.35","1,153.30","1,157.61","1,339.65",951.4,"84,64,570","9,79,86,91,715.55","2,06,099"
7-Oct-24,EQ,"1,182.95","1,184.85","1,130.90","1,178.40","1,151.30","1,145.70","1,157.29","1,339.65",951.4,"2,00,47,013","23,20,01,40,647.15","4,05,533"
4-Oct-24,EQ,"1,175.50","1,202.80","1,174.00","1,175.70","1,183.00","1,178.40","1,185.15","1,339.65",951.4,"1,30,64,515","15,48,34,33,873.00","2,68,686"
3-Oct-24,EQ,"1,207.50","1,219.15","1,173.10","1,226.65","1,178.00","1,175.70","1,191.00","1,339.65",951.4,"1,73,00,892","20,60,53,04,604.25","3,24,821"
1-Oct-24,EQ,"1,228.10","1,242.95","1,224.65","1,232.20","1,227.50","1,226.65","1,232.05","1,339.65",951.4,"1,11,64,280","13,75,49,69,650.55","1,39,543"
30-Sep-24,EQ,"1,263.50","1,275.00","1,229.35","1,273.15","1,231.60","1,232.20","1,241.68","1,339.65",951.4,"84,66,919","10,51,31,83,747.10","2,82,624"
27-Sep-24,EQ,"1,273.00","1,281.55","1,257.25","1,277.10","1,275.10","1,273.15","1,271.84","1,339.65",951.4,"1,33,72,027","17,00,71,37,717.35","2,73,519"
26-Sep-24,EQ,"1,267.55","1,281.65","1,262.25","1,268.10","1,274.00","1,277.10","1,273.62","1,339.65",951.4,"72,70,078","9,25,93,22,711.90","1,91,113"
25-Sep-24,EQ,"1,238.00","1,271.00","1,231.10","1,239.55","1,269.15","1,268.10","1,256.08","1,339.65",951.4,"68,53,324","8,60,83,34,038.65","1,99,190"
24-Sep-24,EQ,"1,241.10","1,247.10","1,235.35","1,246.80","1,240.50","1,239.55","1,240.21","1,339.65",951.4,"92,25,946","11,44,20,71,000.35","2,43,688"
23-Sep-24,EQ,"1,251.50","1,252.45","1,240.55","1,245.00","1,246.00","1,246.80","1,246.62","1,339.65",951.4,"54,62,814","6,81,00,67,498.20","1,59,179"
20-Sep-24,EQ,"1,244.00","1,250.00","1,229.90","1,242.70","1,249.95","1,245.00","1,242.12","1,339.65",951.4,"1,50,09,629","18,64,37,61,573.35","2,70,705"
19-Sep-24,EQ,"1,248.45","1,261.70","1,239.00","1,240.45","1,244.80","1,242.70","1,246.26","1,339.65",951.4,"84,49,864","10,53,06,94,484.60","2,01,989"
18-Sep-24,EQ,"1,231.90","1,250.40","1,225.00","1,232.10","1,235.20","1,240.45","1,241.16","1,339.65",951.4,"82,10,034","10,18,99,64,995.45","1,97,803"
17-Sep-24,EQ,"1,235.20","1,240.60","1,227.60","1,231.05","1,228.50","1,232.10","1,235.07","1,339.65",951.4,"80,30,427","9,91,81,22,194.75","1,97,225"
16-Sep-24,EQ,"1,222.00","1,234.00","1,215.00","1,217.45","1,230.35","1,231.05","1,229.07","1,339.65",951.4,"40,39,284","4,96,45,57,616.95","1,59,159"
13-Sep-24,EQ,"1,209.90","1,219.55","1,201.00","1,203.35","1,214.95","1,217.45","1,213.26","1,339.65",951.4,"67,62,566","8,20,47,67,473.10","1,17,268"
12-Sep-24,EQ,"1,190.10","1,205.70","1,176.75","1,186.10","1,202.60","1,203.35","1,195.28","1,339.65",951.4,"75,92,871","9,07,55,93,755.85","2,11,321"
11-Sep-24,EQ,"1,187.20","1,194.85","1,181.00","1,187.20","1,188.65","1,186.10","1,186.48","1,339.65",951.4,"60,00,329","7,11,92,66,579.95","1,28,372"
10-Sep-24,EQ,"1,178.90","1,190.85","1,173.35","1,170.85","1,186.55","1,187.20","1,185.77","1,339.65",951.4,"87,23,854","10,34,44,70,324.55","3,39,582"
9-Sep-24,EQ,"1,158.00","1,175.60","1,145.00","1,158.75","1,170.30","1,170.85","1,161.47","1,339.65",951.4,"77,00,940","8,94,44,48,986.65","2,25,960"
